subcode,timedate,direction,numtrials,bsp,score,correct,msp
320,Thu Apr 24 10:41:07 2014,forward,9,4,16,4,3
1,Sun Apr 27 14:55:51 2014,forward,11,5,35,7,4.5
101,Wed Apr 30 07:18:24 2014,forward,9,4,20,5,3.5
101,Fri May 09 20:27:41 2014,forward,17,8,88,11,6.5
1,Wed May 14 09:07:49 2014,forward,11,5,35,7,4.5
000,Sat May 17 15:50:01 2014,forward,11,5,40,8,5
000,Sun May 18 11:01:39 2014,forward,11,5,30,6,4
1,Sun May 18 16:13:32 2014,forward,9,4,24,6,4
2,Mon May 19 10:02:18 2014,forward,7,3,9,3,2.5
3,Mon May 19 10:55:37 2014,forward,11,5,35,7,4.5
4,Mon May 19 11:31:50 2014,forward,11,5,30,6,4
5,Mon May 19 12:14:45 2014,forward,9,4,20,5,3.5
6,Mon May 19 13:04:24 2014,forward,9,4,20,5,3.5
7,Mon May 19 13:53:11 2014,forward,11,5,40,8,5
8,Mon May 19 14:58:40 2014,forward,9,4,20,5,3.5
10,Tue May 20 12:11:28 2014,forward,5,2,4,2,2
11,Tue May 20 13:05:43 2014,forward,5,2,2,1,1.5
12,Tue May 20 13:35:18 2014,forward,9,4,24,6,4
13,Tue May 20 14:19:26 2014,forward,13,6,48,8,5
14,Tue May 20 14:45:04 2014,forward,11,5,35,7,4.5
15,Mon May 26 09:15:53 2014,forward,7,3,12,4,3
16,Mon May 26 10:07:02 2014,forward,11,5,30,6,4
17,Mon May 26 10:49:26 2014,forward,11,5,40,8,5
18,Tue May 27 09:28:38 2014,forward,11,5,35,7,4.5
19,Tue May 27 10:28:19 2014,forward,11,5,30,6,4
20,Wed May 28 10:46:15 2014,forward,5,2,4,2,2
21,Wed May 28 11:40:49 2014,forward,7,3,6,2,2
22,Wed May 28 12:30:40 2014,forward,3,1,0,0,1
23,Wed May 28 13:16:30 2014,forward,11,5,30,6,4
24,Wed May 28 14:24:33 2014,forward,3,1,0,0,1
25,Wed May 28 15:05:33 2014,forward,3,1,0,0,1
26,Wed May 28 15:38:56 2014,forward,3,1,0,0,1
27,Sat May 31 10:10:28 2014,forward,11,5,35,7,4.5
28,Sat May 31 10:46:36 2014,forward,5,2,4,2,2
29,Sat May 31 11:48:36 2014,forward,11,5,30,6,4
30,Sat May 31 13:19:48 2014,forward,11,5,30,6,4
29,Sun Jun 01 12:26:56 2014,forward,7,3,12,4,3
31,Sun Jun 01 13:00:12 2014,forward,7,3,9,3,2.5
35,Sun Jun 01 13:27:21 2014,forward,11,5,25,5,3.5
36,Sun Jun 01 13:54:01 2014,forward,11,5,35,7,4.5
37,Sun Jun 01 14:25:27 2014,forward,7,3,12,4,3
39,Sun Jun 01 15:07:34 2014,forward,7,3,12,4,3
40,Tue Jun 03 09:51:47 2014,forward,11,5,35,7,4.5
41,Tue Jun 03 10:13:13 2014,forward,11,5,35,7,4.5
42,Tue Jun 03 10:57:17 2014,forward,11,5,30,6,4
43,Tue Jun 03 11:13:09 2014,forward,7,3,12,4,3
43,Tue Jun 03 11:44:42 2014,forward,11,5,35,7,4.5
45,Tue Jun 03 12:23:19 2014,forward,9,4,24,6,4
46,Tue Jun 03 12:47:21 2014,forward,9,4,24,6,4
47,Tue Jun 03 13:08:20 2014,forward,11,5,40,8,5
48,Tue Jun 03 13:30:47 2014,forward,11,5,30,6,4
49,Tue Jun 03 14:14:50 2014,forward,11,5,35,7,4.5
50,Tue Jun 03 14:40:20 2014,forward,11,5,30,6,4
51,Sun Jun 08 10:58:33 2014,forward,7,3,9,3,2.5
52,Sun Jun 08 12:43:01 2014,forward,11,5,35,7,4.5
53,Sun Jun 08 13:47:11 2014,forward,9,4,20,5,3.5
54,Wed Jun 11 11:56:56 2014,forward,7,3,12,4,3
55,Wed Jun 11 14:11:48 2014,forward,9,4,20,5,3.5
56,Wed Jun 11 14:59:49 2014,forward,9,4,16,4,3
57,Wed Jun 11 15:47:03 2014,forward,11,5,40,8,5
58,Wed Jun 11 16:28:15 2014,forward,7,3,9,3,2.5
59,Thu Jun 12 11:01:13 2014,forward,7,3,9,3,2.5
60,Thu Jun 12 12:02:02 2014,forward,11,5,30,6,4
61,Thu Jun 12 12:52:52 2014,forward,5,2,2,1,1.5
62,Thu Jun 12 13:45:18 2014,forward,5,2,4,2,2
63,Fri Jun 13 11:34:08 2014,forward,5,2,2,1,1.5
64,Fri Jun 13 12:44:40 2014,forward,11,5,25,5,3.5
65,Fri Jun 13 13:48:30 2014,forward,5,2,4,2,2
66,Fri Jun 13 14:37:43 2014,forward,11,5,35,7,4.5
67,Fri Jun 13 15:27:54 2014,forward,11,5,35,7,4.5
68,Sat Jun 14 12:05:36 2014,forward,9,4,24,6,4
69,Sun Jun 15 12:06:47 2014,forward,9,4,20,5,3.5
70,Sun Jun 15 12:57:13 2014,forward,7,3,9,3,2.5
71,Sun Jun 15 13:52:42 2014,forward,7,3,6,2,2
72,Sun Jun 15 14:32:11 2014,forward,11,5,35,7,4.5
73,Sun Jun 15 15:23:03 2014,forward,11,5,30,6,4
74,Mon Jun 16 09:19:16 2014,forward,7,3,12,4,3
75,Mon Jul 07 12:39:11 2014,forward,3,1,0,0,1
76,Mon Jul 07 13:31:20 2014,forward,7,3,9,3,2.5
80,Tue Jul 08 08:42:49 2014,forward,11,5,25,5,3.5
81,Tue Jul 08 13:11:35 2014,forward,7,3,6,2,2
82,Tue Jul 08 14:08:11 2014,forward,9,4,20,5,3.5
83,Tue Jul 08 15:50:46 2014,forward,11,5,30,6,4
84,Tue Jul 08 16:34:39 2014,forward,7,3,6,2,2
86,Thu Jul 10 10:06:21 2014,forward,9,4,16,4,3
87,Thu Jul 10 10:59:38 2014,forward,9,4,16,4,3
88,Thu Jul 10 12:01:49 2014,forward,11,5,35,7,4.5
89,Thu Jul 10 12:43:45 2014,forward,11,5,35,7,4.5
90,Thu Jul 10 13:50:24 2014,forward,11,5,30,6,4
92,Thu Jul 10 15:04:52 2014,forward,7,3,9,3,2.5
93,Thu Jul 10 15:51:01 2014,forward,9,4,20,5,3.5
94,Thu Jul 10 16:30:22 2014,forward,7,3,9,3,2.5
95,Sat Jul 12 11:46:25 2014,forward,7,3,9,3,2.5
96,Sat Jul 12 12:37:32 2014,forward,9,4,20,5,3.5
97,Sat Jul 12 13:37:18 2014,forward,11,5,30,6,4
98,Fri Jul 18 09:54:53 2014,forward,5,2,2,1,1.5
99,Fri Jul 18 10:54:17 2014,forward,3,1,0,0,1
100,Fri Jul 18 15:25:52 2014,forward,7,3,9,3,2.5
101,Fri Jul 18 16:09:18 2014,forward,7,3,12,4,3
999,Fri Jul 18 16:31:35 2014,forward,13,6,60,10,6
999,Fri Jul 18 16:34:59 2014,forward,15,8,88,11,6.5
102,Sat Jul 19 09:20:45 2014,forward,11,5,40,8,5
103,Sat Jul 19 10:00:38 2014,forward,5,2,2,1,1.5
104,Sat Jul 19 10:41:24 2014,forward,7,3,9,3,2.5
105,Sat Jul 19 11:33:06 2014,forward,11,5,30,6,4
106,Sat Jul 19 12:57:26 2014,forward,13,6,54,9,5.5
107,Sat Jul 19 13:36:44 2014,forward,7,3,9,3,2.5
108,Sat Jul 19 14:12:27 2014,forward,11,5,30,6,4
109,Sat Jul 19 14:46:05 2014,forward,11,5,35,7,4.5
110,Sat Jul 19 15:54:54 2014,forward,9,4,20,5,3.5
112,Sun Jul 20 10:00:24 2014,forward,9,4,20,5,3.5
113,Sun Jul 20 12:48:17 2014,forward,9,4,20,5,3.5
114,Sun Jul 20 13:39:27 2014,forward,11,5,30,6,4
115,Mon Jul 21 13:21:04 2014,forward,5,2,4,2,2
116,Mon Jul 21 14:13:12 2014,forward,3,1,0,0,1
116,Mon Jul 21 14:15:31 2014,forward,9,4,16,4,3
117,Mon Jul 21 14:52:37 2014,forward,11,5,40,8,5
118,Mon Jul 21 15:28:00 2014,forward,7,3,9,3,2.5
119,Tue Jul 22 09:37:20 2014,forward,9,4,24,6,4
120,Tue Jul 22 11:21:00 2014,forward,9,4,24,6,4
121,Tue Jul 22 12:06:10 2014,forward,11,5,30,6,4
122,Tue Jul 22 12:48:43 2014,forward,9,4,24,6,4
123,Tue Jul 22 13:34:44 2014,forward,11,5,30,6,4
124,Tue Jul 22 14:18:52 2014,forward,11,5,40,8,5
125,Tue Jul 22 15:16:20 2014,forward,11,5,30,6,4
126,Tue Jul 22 15:57:21 2014,forward,11,5,35,7,4.5
127,Tue Jul 22 16:28:04 2014,forward,11,5,25,5,3.5
128,Wed Jul 23 10:13:15 2014,forward,11,5,25,5,3.5
129,Wed Jul 23 13:38:26 2014,forward,7,3,12,4,3
