ID,MR_note
1,"understood, delay on 1st back trial"
2,
3,
4,
5,
6,
7,possibly confused in early Q3
8,
9,"vision issues, also caluses made touchscreen not respond"
10,
11,
12,
13,took break to breastfeed
14,
15,
16,required extensive training
17,
18,
19,
20,"trouble understanding, started pressing left every time"
21,failed practice
22,failed practice (eyes an issue)
23,
24,"seemed to understand, but struggled with 0-degree"
25,
26,
27,
28,concern w/ comp tasks ID
29,concern w/ comp tasks ID
30,concern w/ comp tasks ID
31,bad eyes cancelled comp
32,concern w/ comp tasks ID
33,concern w/ comp tasks ID
34,concern w/ comp tasks ID
35,
36,
37,
38,blind
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,had baby w/ her (distraction?)
50,
51,
52,
53,
54,
55,MR-back crashed
56,
57,
58,
59,understood
60,Initial misses in mr task seemed inconsistent with practice
61,did not understand
62,
63,did not understand
64,
65,appeared to try but somhow pressed the left on every trial of the mr-back
66,
67,
68,
69,
70,
71,"claims she understands, but that it is too difficult to try. Unable to perform above chance in practice."
72,
73,
74,
75,did not understand
76,only incorrect response on MR-front was my fault.. Fatigue obviously hurt in MR-back
77,
78,
79,
80,
81,Fatigue obviously hurt in MR-back
82,
83,understood
84,"Thought he understood in practice, but may have just gotten lucky"
85,
86,
87,
88,
89,
90,
91,problems w/ eyesight made it difficult
92,
93,
94,
95,
96,"clearly ""figured it out"" on the back half of MR back"
97,
98,"clearly ""figured it out"" midway through frontMR"
99,doesn't understand
100,
101,
102,
103,doesn't understand
104,
105,
106,
107,doesn't understand
108,
109,
110,
111,doesn't understand
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
