ID,block,total,correct,span,mr.time,mr.acc
1,,,,,4,0.38
2,,,,,10,0.67
3,,,,,3,0.54
4,,,,,3,0.79
5,,,,,7,0.50
6,,,,,3,0.96
7,,,,,5,0.83
8,,,,,7,0.54
9,,,,,11,0.92
10,,,,,7,0.63
11,,,,,4,0.54
12,,,,,4,1.00
13,,,,,4,0.96
14,,,,,4,0.92
15,3,12,4,3,11,0.96
16,5,30,6,4,4,0.92
17,5,40,8,5,12,0.58
18,5,35,7,4.5,12,0.83
19,5,30,6,4,11,0.63
20,2,4,2,2,8,0.67
21,3,6,2,2,7,0.92
22,5,30,6,4,9,0.58
23,5,30,6,4,8,0.88
24,1,0,0,1,4,0.96
25,1,0,0,1,20,0.75
26,1,0,0,1,12,0.83
27,5,35,7,4.5,6,1.00
28,2,4,2,2,7,0.96
29,5,30,6,4,6,0.75
30,5,30,6,4,9,0.92
31,3,9,3,2.5,4,0.75
32,,,,,5,0.71
33,,,,,5,1.00
34,,,,,7,1.00
35,5,25,5,3.5,4,1.00
36,5,35,7,4.5,12,0.88
37,3,12,4,3,3,1.00
38,,,,,5,1.00
39,3,12,4,3,10,0.58
40,5,35,7,4.5,11,0.58
41,5,35,7,4.5,14,0.92
42,5,30,6,4,7,0.96
43,3,12,4,3,16,0.88
44,5,35,7,4.5,9,0.79
45,4,24,6,4,6,0.79
46,4,24,6,4,6,0.96
47,5,40,8,5,5,0.96
48,5,30,6,4,9,0.92
49,5,35,7,4.5,4,0.63
50,5,30,6,4,4,0.88
51,5,35,7,4.5,6,0.96
52,5,35,7,4.5,12,0.83
53,4,20,5,3.5,14,0.63
54,3,12,4,3,4,1.00
55,4,20,5,3.5,7,0.79
56,4,16,4,3,6,1.00
57,5,40,8,5,5,1.00
58,3,9,3,2.5,7,0.83
59,3,9,3,2.5,8,0.92
60,5,30,6,4,9,1.00
61,2,2,1,1.5,7,0.83
62,2,4,2,2,25,0.71
63,2,2,1,1.5,12,0.88
64,5,25,5,3.5,13,0.67
65,2,4,2,2,8,1.00
66,5,35,7,4.5,10,0.50
67,5,35,7,4.5,6,0.46
68,4,24,6,4,9,0.75
69,4,20,5,3.5,7,0.88
70,3,9,3,2.5,5,1.00
71,3,6,2,2,4,1.00
72,5,35,7,4.5,5,1.00
73,5,30,6,4,6,0.92
74,3,12,4,3,19,0.75
75,1,0,0,1,9,0.46
76,3,9,3,2.5,9,0.88
77,,,,,7,0.79
78,,,,,10,0.88
79,,,,,10,0.63
80,5,25,5,3.5,15,0.92
81,3,6,2,2,4,0.58
82,4,20,5,3.5,11,0.75
83,5,30,6,4,6,0.88
84,3,6,2,2,6,1.00
85,,,,,8,0.83
86,4,16,4,3,6,0.83
87,4,16,4,3,5,0.92
88,5,35,7,4.5,6,0.96
89,5,35,7,4.5,9,0.92
90,5,30,6,4,6,0.96
91,,,,,11,0.92
92,3,9,3,2.5,12,0.79
93,4,20,5,3.5,15,0.63
94,3,9,3,2.5,4,0.96
95,3,9,3,2.5,5,0.50
96,4,20,5,3.5,12,0.96
97,5,30,6,4,7,1.00
98,2,2,1,1.5,3,1.00
99,1,0,0,1,4,1.00
100,3,9,3,2.5,5,0.88
101,5,40,8,5,4,1.00
102,5,40,8,5,5,1.00
103,2,2,1,1.5,8,0.92
104,3,9,3,2.5,3,1.00
105,5,30,6,4,13,0.88
106,6,54,9,5.5,5,0.58
107,3,9,3,2.5,,
108,5,30,6,4,,
109,4,20,5,3.5,,
110,4,20,5,3.5,,
111,,,,,,
112,4,20,5,3.5,,
113,4,20,5,3.5,,
114,5,30,6,4,,
115,2,4,2,2,,
116,1,0,0,1,,
117,5,40,8,5,,
118,3,9,3,2.5,,
119,4,24,6,4,,
120,4,24,6,4,,
121,5,30,6,4,,
122,4,24,6,4,,
123,5,30,6,4,,
124,5,40,8,5,,
125,5,30,6,4,,
126,5,35,7,4.5,,
127,5,25,5,3.5,,
128,5,25,5,3.5,,
129,3,12,4,3,,
