ID,SAB1a,SAB1b,SAB2,SAB3,SAB4,SAX1,SAX2,SAX3,SAX4,HA1.raw,HA2.raw,HA3.raw,HA4.raw,HA5.raw,HA6.raw,HA7.raw,HA8.raw,HA9.raw,HA10.raw,HA1,HA2,HA3,HA4,HA5,HA6,HA7,HA8,HA9,HA10
2,,1,3,3,1,1,2,3,3,1,2,1,1,2,1,1,2,1,2,0,0,0,1,0,1,0,0,0,1
7,,1,3,1,2,1,1,1,3,2,2,1,2,2,2,1,2,1,2,1,0,0,0,0,0,0,0,0,1
22,,1,3,1,2,1,1,3,3,1,2,1,2,2,2,1,1,2,1,0,0,0,0,0,0,0,1,1,0
30,,1,3,1,1,1,3,1,3,1,1,1,2,1,2,2,2,1,2,0,1,0,0,1,0,1,0,0,1
40,,1,1,1,1,1,1,1,1,1,2,1,2,1,,,,,,0,0,0,0,1,,,,,
46,,1,1,1,3,1,1,1,3,1,1,1,1,1,,,,,,0,1,0,1,1,,,,,
48,,1,1,1,2,1,1,1,1,1,1,1,1,1,,,,,,0,1,0,1,1,,,,,
52,,1,3,1,1,1,1,1,3,2,2,1,2,1,2,1,2,2,2,1,0,0,0,1,0,0,0,1,1
59,,1,3,1,1,1,3,1,3,1,2,1,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0,1,0
71,,1,3,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,0,1,0,0,0,0,0,0,1,0
111,,1,3,1,0,3,1,3,3,2,1,1,2,2,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0
4,,2,2,1,1,1,3,2,3,1,2,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0,1,0,0
6,,2,3,3,2,1,1,1,3,1,2,1,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,0
10,,2,3,1,1,1,1,3,1,1,2,1,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
13,,2,2,1,1,1,3,1,3,1,2,1,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,1
16,,2,2,3,2,1,3,1,3,1,2,1,1,2,1,1,1,2,2,0,0,0,1,0,1,0,1,1,1
17,,2,3,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0,1,0
24,,2,3,1,1,3,3,3,1,1,2,,2,1,2,2,2,1,1,0,0,,0,1,0,1,0,0,0
39,,2,2,1,1,1,1,1,3,1,1,2,2,2,,,,,,0,1,1,0,0,,,,,
42,,2,3,2,1,1,3,3,3,,1,,2,,,,,,,,1,,0,,,,,,
43,,2,1,1,3,1,1,1,1,1,1,1,2,2,,,,,,0,1,0,0,0,,,,,
45,,2,1,2,2,1,1,1,3,1,1,1,2,1,,,,,,0,1,0,0,1,,,,,
47,,2,,2,1,3,3,3,2,2,2,2,1,2,,,,,,1,0,1,1,0,,,,,
49,,2,3,3,1,1,1,1,3,1,2,1,2,2,,,,,,0,0,0,0,0,,,,,
56,,2,3,1,2,3,3,3,3,2,1,1,1,2,2,1,2,2,2,1,1,0,1,0,0,0,0,1,1
58,,2,2,1,4,1,1,1,1,2,2,1,1,2,2,1,2,2,2,1,0,0,1,0,0,0,0,1,1
62,,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,0,1,0,0,0,0,0,1,0
64,,2,3,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,0,0,1,0,1,1,1,0,0
66,,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,0,0,1,0,0,0,0,0,1,1
68,,2,2,1,1,1,1,,3,1,1,2,2,2,2,1,1,1,2,0,1,1,0,0,0,0,1,0,1
3,,3,3,1,1,1,1,1,3,1,2,1,1,2,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0
5,,3,3,1,1,1,3,1,3,1,2,1,2,1,2,1,2,2,1,0,0,0,0,1,0,0,0,1,0
8,,3,3,1,4,1,1,1,3,1,2,1,1,2,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0
9,,3,3,1,1,3,3,3,3,1,2,1,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0,1,0
14,,3,3,3,1,1,1,1,3,1,2,1,2,2,2,1,1,2,2,0,0,0,0,0,0,0,1,1,1
20,,3,1,1,1,3,2,3,1,1,1,2,1,2,1,1,2,2,1,0,1,1,1,0,1,0,0,1,0
27,,3,3,1,2,1,1,2,3,1,1,2,2,2,2,1,2,1,1,0,1,1,0,0,0,0,0,0,0
29,,3,1,3,,1,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,1,1,1,0,0,0,1
41,,3,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,0,1,0,0,1,,,,,
44,,3,1,3,2,1,1,1,1,1,2,1,2,2,,,,,,0,0,0,0,0,,,,,
50,,3,3,1,1,1,1,1,3,2,1,1,2,2,,,,,,1,1,0,0,0,,,,,
53,,3,3,2,1,1,3,1,3,1,2,1,2,2,2,1,1,1,2,0,0,0,0,0,0,0,1,0,1
54,,3,2,1,3,1,1,1,1,2,2,1,2,1,2,1,2,2,2,1,0,0,0,1,0,0,0,1,1
61,,3,3,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,0,0,1,0,0,0,0,0,1,0
74,,3,3,1,1,1,3,1,3,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,0,1,1,1
85,,3,2,1,2,,,,,1,2,1,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,3,1,1,1,2,1,2,1,2,1,2,2,,,,,,0,0,0,0,0,,,,,
32,2,,2,1,1,3,3,2,1,1,2,1,1,1,,,,,,0,0,0,1,1,,,,,
33,1,,1,1,1,1,1,2,,1,1,2,2,1,,,,,,0,1,1,0,1,,,,,
34,,,2,1,1,1,,1,1,2,2,1,1,1,,,,,,1,0,0,1,1,,,,,
35,1,,1,1,1,1,1,1,1,1,2,1,2,2,,,,,,0,0,0,0,0,,,,,
36,2,,3,1,1,1,1,1,1,1,2,1,2,2,,,,,,0,0,0,0,0,,,,,
37,,,3,1,1,1,,1,3,1,2,1,1,2,,,,,,0,0,0,1,0,,,,,
38,,,2,3,3,1,1,1,3,1,2,1,2,2,,,,,,0,0,0,0,0,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
